"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£ incl VAT when charged)";"Fulltext in EPMC";"Ahead of Print?";"Author Manuscript?";"Licence in Europe PMC";"Licence on Publisher website";"Journal Type";"COAF compliant?";"Funder of research (1)";"Funder of research (2)";"Funder of research (3)";"Grant ID (1)";"Grant ID (2)";"Grant ID (3)";;
"PMC4728423";26565375;"10.1111/bph.13387";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"Natural and synthetic flavonoid modulation of TRPC5 channels";1800;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"British Heart Foundation";"BBSRC";"unknown";1568094;"FS/14/22/30734";;
"PMC4718217";26650438;"10.1111/bph.13347";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: Overview";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"BB/J014699/1";"R01 HL114539";"R01 DK099284";;
"PMC4718210";26650439;"10.1111/bph.13348";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: G protein-coupled receptors";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"BB/J003506/1";;;;
"PMC4718212";26650440;"10.1111/bph.13350";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: Ligand-gated ion channels";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4718208";26650444;"10.1111/bph.13353";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: Catalytic receptors";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4718213";26650443;"10.1111/bph.13352";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: Nuclear hormone receptors";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4718214";26650442;"10.1111/bph.13351";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: Other ion channels";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4718209";26650441;"10.1111/bph.13349";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: Voltage-gated ion channels";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"R01 HL105949";"R01 GM111716";;;
"PMC4718215";26650446;"10.1111/bph.13355";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: Transporters";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4718211";26650445;"10.1111/bph.13354";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"The Concise Guide to PHARMACOLOGY 2015/16: Enzymes";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4945766";27189253;"10.1111/bph.13519";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"TRPA1 activation leads to neurogenic vasodilatation: Involvement of reactive oxygen nitrogen species in addition to CGRP and nitric oxide";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;;;;;
"PMC4629192";26276951;"10.1111/bph.13282";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"Human induced pluripotent stem cell-derived versus adult cariomyocytes: an in silico electrophysiological study on effects of ionic current block";£1,970.25;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;100246;;;;
"PMC4728427";26562072;"10.1111/bph.13381";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"Mechanism of allosteric activation of TMEM16A/ANO1 channels by a commonly used chloride channel blocker";£2,725.27;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"unknown";84655;"unknown";;
"PMC4761093";26661062;"10.1111/bph.13407";"Wiley-Blackwell";"British journal of pharmacology";"0007-1188, 1476-5381";"Galanin inhibits GLP-1 and GIP secretion via the GAL1 receptor in enteroendocrine L and K cells.";2827.52;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"mrc, wellcome-trust,";0;0;"088357/Z/09/Z";"084210/Z/07/Z";"MRC_MC_UU_12012/3";;
"PMC5111585";27716902;"10.1002/cncr.30235";"Wiley-Blackwell";"Cancer";"0008-543X, 1097-0142";"A study of motivation & expectations of patients seen in phase 1 oncology clinics";2463.98;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;;;;;
"PMC4924371";26992435;"10.1002/cam4.695";"Wiley-Blackwell";"Cancer medicine";"2045-7634";"Blood lipids and prostate cancer: a Mendelian randomization analysis";1514.4;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Cancer Research UK";;;19170;"A19169";"U19 CA148537";;
"PMC5119990";27734632;"10.1002/cam4.871";"Wiley-Blackwell";"Cancer medicine";"2045-7634";"Is there a role for IGF-1 in the development of second primary cancers?";£1,514.40;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Cancer Research UK";;;;;;;
"PMC4949522";26834008;"10.1002/cbf.3164";"Wiley-Blackwell";"Cell biochemistry and function";"0263-6484, 1099-0844";"The anabolic action of intermittent parathyroid hormone on cortical bone depends partly on its ability to induce nitric oxide-mediated vasorelaxation in BALB/c mice";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Arthritis Research UK";;;20581;"unknown";"BB/I014608/1";;
"PMC5103180";26916885;"10.1111/cmi.12583";"Wiley-Blackwell";"Cellular microbiology";"1462-5814, 1462-5822";"Plasmodium falciparum PHIST Proteins Contribute to Cytoadherence and Anchor PfEMP1 to the Host Cell Cytoskeleton";£1,944.37;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4819681";26663815;"10.1111/cmi.12557";"Wiley-Blackwell";"Cellular microbiology";"1462-5814, 1462-5822";"The Mechanics Of Malaria Parasite Invasion Of The Human Erythrocyte - Towards A Reassessment Of The Host Cell Contribution";£2,374.65;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;100993;"00993/Z/13/Z";"MR/K501281/1";;
"PMC4832377";26432982;"10.1111/cmi.12532";"Wiley-Blackwell";"Cellular microbiology";"1462-5814, 1462-5822";"Molecular weaponry: diverse effectors delivered by the Type VI secretion system.";2380.9;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;104556;"unknown";;;
"PMC5031194";26918803;"10.1111/cmi.12584";"Wiley-Blackwell";"Cellular microbiology";"1462-5814, 1462-5822";"Host and parasite genetics shape a link between Trypanosoma crusi infection dynamics and chronics and chronic cardiomyopathy.";2523.8;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"PG/13/88/30556";;;;
"PMC4600234";26212199;"10.1002/cbic.201500272";"Wiley-Blackwell";"Chembiochem : a European journal of chemical biology";"1439-4227, 1439-7633";"BET Inhibition Upregulates SIRT1 and Alleviates Inflammatory Responses";£1,858.96;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"095751/Z/11/Z";106169;"092809/Z/10/Z";;
"PMC4862033";26919579;"10.1002/cbic.201500648";"Wiley-Blackwell";"Chembiochem : a European journal of chemical biology";"1439-4227, 1439-7633";"Development of a Multifunctional Benzophenone Linker for Peptide Stapling and Photoaffinity Labelling.";1985.52;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"bbsrc, epsrc, erc, mrc, wellcome-trust,";0;0;"unknown";1127353;1351980;;
"PMC4869678";26929153;"10.1002/chem.201505093";"Wiley-Blackwell";"Chemistry (Weinheim an der Bergstrasse, Germany)";"0947-6539, 1521-3765";"Synthesis and evaluation of a 2,11-Cembranoid-inspired library";2216.77;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;11566;"C309A11566";"C19524A8027";;
"PMC4916734";27347458;"10.1002/cplu.201500549";"Wiley-Blackwell";"ChemPlusChem";"2192-6506";"Tracer-Based Metabolic NMR-Based Flux Analysis in a Leukaemia Cell Line";1800;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Bloodwise";0;0;;;;;
;;"10.1111/cfs.12316";"Wiley-Blackwell";"Child & Family Social Work";"1356-7500";"On the margins of the child protection system: creating space for relational social work practice";2738.32;0;1;"not applicable";"unknown";"unknown";"hybrid";0;"wellcome";0;0;;;;;
"unknown";27647334;"10.1111/cdev.12615";"Wiley-Blackwell";"Child development";"0009-3920, 1467-8624";"English Language Proficiency and Early School Attainment Among Children Learning English as an Additional Language";£1,500.00;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"Wellcome Trust";;;;;;;
"PMC4979664";27381579;"10.1111/cch.12371";"Wiley-Blackwell";"Child: care, health and development";"0305-1862, 1365-2214";"Adapting the Bayley Scales of Infant and Toddler Development in Ethiopia: evaluation of reliability and validity";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4869676";26989871;"10.1111/cea.12728";"Wiley-Blackwell";"Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology";"0954-7894, 1365-2222";"The Impact of National guidelines on Venom Immunotherapy Practice in the UK";2250;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;;;;;
"PMC5132090";27786367;"10.1111/ced.12934";"Wiley-Blackwell";"Clinical and experimental dermatology";"0307-6938, 1365-2230";"Isolated recessive nail dysplasia caused by FZD6 mutations: report of three families and review of the literature";1500;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC5082558";27663168;"10.1111/ced.12895";"Wiley-Blackwell";"Clinical and experimental dermatology";"0307-6938, 1365-2230";"Dry skin and blistering in childhood";£2,103.48;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC5167017";27324616;"10.1111/cei.12828";"Wiley-Blackwell";"Clinical and experimental immunology";"0009-9104, 1365-2249";"HLA Class 1 redirected anti tumour CD4+ T-cells require a higher TCR binding affinity for optimal activity than CD8+ T-cells.";1872.37;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4711160";26422112;"10.1111/cei.12716";"Wiley-Blackwell";"Clinical and experimental immunology";"0009-9104, 1365-2249";"The impact of HLA-class I and EBV latency-II antigen-specific CD8+ T-cells on the pathogenesis of EBV+ Hodgkin Lymphoma";2373.43;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;100326;;;;
"PMC4750593";26439909;"10.1111/cei.12722";"Wiley-Blackwell";"Clinical and experimental immunology";"0009-9104, 1365-2249";"Interaction of a dengue virus NS1-derived peptide with the inhibitory receptor KIR3DL1 on natural killer cells";2373.42;1;"not applicable";0;"cc-by-nc-nd";"cc-by";"hybrid";0;"Wellcome Trust";0;0;100326;"HHSN261200800001C";"HHSN261200800001E";;
"PMC4864751";26807534;"10.1002/clc.22507";"Wiley-Blackwell";"Clinical cardiology";"0160-9289, 1932-8737";"Effect of Remote Ischaemic Conditioning in ONCology patients undergoing chemotherapy: Rationale and design of the ERIC-ONC study - a single centre, blinded, randomised controlled trial";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";"MRC";;"NF-SI-0510-10164";;;;
"PMC5054469";27761245;"10.1002/ccr3.663";"Wiley-Blackwell";"Clinical case reports";"2050-0904";"Activation of an exonic splice-donor site in exon 30 of CDK5RAP2 in a patient with severe microcephaly and pigmentary abnormalities";£1,944.37;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Wellcome Trust";;;;;;;
"PMC5082557";27327840;"10.1111/cen.13141";"Wiley-Blackwell";"Clinical endocrinology";"0300-0664, 1365-2265";"ACTH and gonadotropin deficiency predict mortality in patients treated for nonfunctioning pituitary adenoma (NFPA): long-term follow-up of 519 patients in two large European centres";1800;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;;;;;
"PMC4914955";26572695;"10.1111/cen.12977";"Wiley-Blackwell";"Clinical endocrinology";"0300-0664, 1365-2265";"Subcutaneous infusion of kisspeptin-54 stimulates gonadotrophin release in women and the response correlates with basal oestradiol levels";£1,942.50;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;988;"RP-2014-05-001";"G1000455";;
"PMC5053278";26921561;"10.1111/cen.13045";"Wiley-Blackwell";"Clinical endocrinology";"0300-0664, 1365-2265";"Prevalence and correlates of vitamin D deficiency in adults after traumatic brain injury";£2,242.41;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"MR/K023926/1";;;;
"PMC4988380";27256595;"10.1111/cen.13121";"Wiley-Blackwell";"Clinical endocrinology";"0300-0664, 1365-2265";"GCKÂ Gene Mutations are a Common Cause of Childhood-Onset MODY (Maturity-Onset Diabetes Of The Young) inÂ Turkey";2811.4;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Other";"Other";;;;;
;27362444;"10.1111/cen.13149";"Wiley-Blackwell";"Clinical endocrinology";"0300-0664, 1365-2265";"Molecular spectrum of TSHÎ² subunit gene defects in central hypothyroidism in the UK and Ireland.";2324.35;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"nihr, wellcome-trust,";0;0;;;;;
"PMC5025718";26706854;"10.1111/cge.12721";"Wiley-Blackwell";"Clinical genetics";"0009-9163, 1399-0004";"Acromelic frontonasal dysostosis and ZSWIM6 mutation: phenotypic spectrum and mosaicism";£1,944.37;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Wellcome Trust";;102731;;;;
"PMC5006848";26954065;"10.1111/cge.12773";"Wiley-Blackwell";"Clinical genetics";"0009-9163, 1399-0004";"A de novo frameshift in HNRNPK causing a Kabuki-like syndrome with nodular heterotopia";£1,944.37;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4881297";26910520;"10.1002/cpt.355";"Wiley-Blackwell";"Clinical pharmacology and therapeutics";"0009-9236, 1532-6535";"LncRNA/microRNA interactions in the vasculature";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;;;;;
"PMC4973707";26555767;"10.1111/cns.12480";"Wiley-Blackwell";"CNS neuroscience & therapeutics";"1755-5930, 1755-5949";"Differential Control by Serotonin (5-HT) and 5-HT1A, 2A, 2C Receptors of Phasic and Tonic GABAA Inhibition in the Visual Thalamus";2400;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;91882;"P1202";;;
"PMC4840325";26688340;"10.1111/cdoe.12208";"Wiley-Blackwell";"Community dentistry and oral epidemiology";"0301-5661, 1600-0528";"Dental associations with blood mercury in pregnant women";1800;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"Wellcome Trust";;"104077/Z/14/Z";"102215/2/13/2";102215;;
"PMC4832334";26441162;"10.1002/cyto.a.22777";"Wiley-Blackwell";"Cytometry. Part A : the journal of the International Society for Analytical Cytology";"1552-4922, 1552-4930";"Detection of early stage changes associated with adipogenesis using Raman spectroscopy under aseptic conditions";2035.89;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;"WT 088908/Z/09/Z";986324;"BB/G010250/1";;
"PMC4913744";26126636;"10.1111/cyt.12259";"Wiley-Blackwell";"Cytopathology : official journal of the British Society for Clinical Cytology";"0956-5507, 1365-2303";"Evaluating cytology for the detection of invasive cervical cancer.";1500;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;16892;;;;
"PMC5111583";27615744;"10.1002/cm.21336";"Wiley-Blackwell";"Cytoskeleton (Hoboken, N.J.)";"1949-3584, 1949-3592";"The RNA-binding protein LARP4 regulates cancer cell migration and invasion";£2,025.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;;;;;
"PMC4864756";26645412;"10.1111/dmcn.12976";"Wiley-Blackwell";"Developmental medicine and child neurology";"0012-1622, 1469-8749";"GABRB3 Mutations: A New and Emerging Cause of Early Infantile Epileptic Encephalopathy";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"MR/L001497/1";2358;;;
"unknown";27320336;"10.1111/desc.12432";"Wiley-Blackwell";"Developmental science";"1363-755X, 1467-7687";"Parent- and child-driven effects during the transition to adolescence: a longitudinal, genetic analysis of the home environment";£1,500.00;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"Wellcome Trust";"MRC";;;;;;
"PMC4710848";26434748;"10.1111/dom.12585";"Wiley-Blackwell";"Diabetes, obesity & metabolism";"1462-8902, 1463-1326";"Glucagon Increases Energy Expenditure Independently of Brown Adipose Tissue Activation in Humans";£2,266.26;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"unknown";2621;988;;
"PMC4995728";26526202;"10.1111/dme.13024";"Wiley-Blackwell";"Diabetic medicine : a journal of the British Diabetic Association";"0742-3071, 1464-5491";"tRNA Methyltransferase Homolog Gene TRMT10A Mutation in Young Adult-Onset Diabetes with Intellectual Disability, Microcephaly and Epilepsy";1500;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;98395;102820;;;
"PMC4832393";26606753;"10.1111/dme.13037";"Wiley-Blackwell";"Diabetic medicine : a journal of the British Diabetic Association";"0742-3071, 1464-5491";"Recessive mutations in the cancer gene Ataxia Telangiectasia Mutated (ATM), at a locus previously associated with metformin response, cause dysglycaemia and insulin resistance";1500;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;102820;"102820/Z/13/Z";;;
"PMC4879510";26802434;"10.1111/dme.13075";"Wiley-Blackwell";"Diabetic medicine : a journal of the British Diabetic Association";"0742-3071, 1464-5491";"Personalized medicine in diabetes: the role of Â‘omicsÂ’ and biomarkers";1500;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC5031218";27086753;"10.1111/dme.13135";"Wiley-Blackwell";"Diabetic medicine : a journal of the British Diabetic Association";"0742-3071, 1464-5491";"Psychiatric morbidity in children with KCNJ11 neonatal diabetes";2569.22;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Other";0;;;;;
5096683;27477181;"10.1111/dme.13180";"Wiley-Blackwell";"Diabetic medicine : a journal of the British Diabetic Association";"0742-3071, 1464-5491";"Analysis of cell-free fetal DNA for non-invasive prenatal diagnosis in a family with neonatal diabetes";2795.9;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"Wellcome Trust";0;0;;;;;
"unknown";27296783;"10.1111/dar.12412";"Wiley-Blackwell";"Drug and alcohol review";"0959-5236, 1465-3362";"Comparison of Cannabinoids in hair with self-reported cannabis consumption in heavy, light, and non- cannabis users";1800;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"MRC";"Wellcome Trust";;;;;;
"PMC4855618";26919089;"10.1002/em.22001";"Wiley-Blackwell";"Environmental and molecular mutagenesis";"0893-6692, 1098-2280";"The impact of individual cytochrome P450 enzymes on the activation and detoxification metabolism of benzo(a)pyrene in human livers";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;"C313/A14329";14329;;;
"PMC4915531";27195522;"10.1002/em.22020";"Wiley-Blackwell";"Environmental and molecular mutagenesis";"0893-6692, 1098-2280";"Transcriptional profiling of the mouse hippocampus supports an NMDAR-mediated neurotoxic mode of action for benzo pyrene";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;"NE/L006782/1";;;;
"PMC4979669";27473530;"10.1002/em.22032";"Wiley-Blackwell";"Environmental and molecular mutagenesis";"0893-6692, 1098-2280";"Oral exposure to commercially available coal-tar-based sealcoat induces murine genetic damage and mutations";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;;;;;
"PMC4864753";27061686;"10.1111/epi.13358";"Wiley-Blackwell";"Epilepsia";"0013-9580, 1528-1167";"RARS2 mutations in a sibship with infantile spasms";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";;;;;;
"PMC4864754";26996997;"10.1111/epi.13356";"Wiley-Blackwell";"Epilepsia";"0013-9580, 1528-1167";"Neuronal antibodies in paediatric epilepsy: clinical features and long-term outcomes of a historical cohort not treated with immunotherapy";£1,944.37;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"unknown";"unknown";"doi:10.1111/eve.12566";"Wiley-Blackwell";"Equine Veterinary Education";"0957-7734";"Is cloning Horses ethical?";£2,470.03;0;1;"not applicable";"unknown";"unknown";"hybrid";0;;;;;;;;
"unknown";27565130;"10.1111/evj.12633";"Wiley-Blackwell";"Equine veterinary journal";"0425-1644, 2042-3306";"Owner reported diseases of working equids in central Ethiopia";£1,500.00;0;1;"not applicable";"unknown";"cc-by";"hybrid";0;"Wellcome Trust";;;;;;;
"PMC4933037";27398226;"10.1002/ehf2.12081";"Wiley-Blackwell";"Esc Heart Failure";"2055-5822";"Chronic hypoxia downregulates tight junction protein ZO-2 expression in children with cyanotic congenital heart defect";1522.8;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"British Heart Foundation";;;;;;;
"PMC4995727";27349812;"10.1111/ecc.12529";"Wiley-Blackwell";"European journal of cancer care";"0961-5423, 1365-2354";"What about diet?: A qualitative study of cancer survivors' views on diet and cancer and their sources of information";£1,500.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";;;;;;;
"PMC5031191";27334899;"10.1002/eji.201545871";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"Periodontitis-associated pathogens P. gingivalis and A. actinomycetemcomitans activate human CD14+ monocytes leading to enhanced Th17/IL-17 responses";£375.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Tri-Service General Hospital";"BBSRC";"Arthritis Research UK";;;;;
"PMC5025719";27184294;"10.1002/eji.201546131";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"A novel complement-metabolism-inflammasome axis as key regulator of immune cell function";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"MR/J006742/1";;;;
"PMC4722854";26464217;"10.1002/eji.201545789";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"Depletion of CD11c+ cells in the CD11c.DTR model drives expansion of unique CD64+ Ly6C+ monocytes that are poised to release TNF-?";£1,875.00;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Bloodwise";;;;;;;
"PMC4738369";26460926;"10.1002/eji.201444970";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"Pattern recognition receptor mediated downregulation of microRNA-650 fine-tunes MxA expression in dendritic cells infected with Influenza A virus";£1,944.37;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"unknown";102974;"MC_UU_12010/7";;
"PMC4913735";26873393;"10.1002/eji.201546114";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"Non-glycosidic compounds can stimulate both human and mouse iNKT cells";£1,944.37;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"Cancer Research UK";;;;;;
"PMC4737201";26467237;"10.1002/eji.201545757";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"KIR2DL3 and KIR2DL1 show similar impact on licensing of human NK cells";£2,310.53;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"WT095472MA";;;;
"PMC4687420";25778912;"10.1002/eji.201445200";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"IL-12/15/18-preactivated NK cells suppress GvHD in a mouse model of mismatched hematopoietic cell transplantation";2830.96;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"wellcome-trust,";;;"unknown";;;;
"PMC4949576";27173727;"10.1002/eji.201546217";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"Reduced TCR-dependent activation through citrullination of a T-cell epitope enhances Th17 development by disruption of the STAT3/5 balance";£2,923.79;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Arthritis Research ";;;19596;;;;
"PMC4783504";26573878;"10.1002/eji.201545537";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"TSLP production by dendritic cells is modulated by IL-1? and components of the endoplasmic reticulum stress response";3000;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"aruk, nihr";;;19639;19962;"G1001765";;
"PMC4746743";24723379;"10.1002/eji.201344284";"Wiley-Blackwell";"European journal of immunology";"0014-2980, 1521-4141";"Abnormalities in iNKT cells are associated with impaired ability of monocytes to produce IL-10 and suppress T-cell proliferation in sarcoidosis";£1,944.37;1;"not applicable";1;"non-standard-licence";"cc-by";"hybrid";0;"Wellcome Trust";;;"unknown";94049;"G0600371";;
"PMC4744947";;"10.1002/ejoc.201501400";"Wiley-Blackwell";"European journal of organic chemistry";"1434-193X";"The Synthesis of Quinolone Natural Products from Pseudonocardia sp.";1854.1;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"bbsrc, cancer-research-uk, epsrc, erc, mrc, wellcome-trust,";0;0;"unknown";279337;;;
"PMC4950342";27030378;"10.1002/ejp.839";"Wiley-Blackwell";"European journal of pain (London, England)";"1090-3801, 1532-2149";"European Journal of Pain";£2,442.49;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"unknown";24957579;"10.1111/evo.12476";"Wiley-Blackwell";"Evolution; international journal of organic evolution";"0014-3820, 1558-5646";"The changing pace of insular evolution: over 5000 years of microevolution in the Orkney vole (Microtus arvalis orcandensis)";1,800.00;0;0;"not applicable";"unknown";"cc-by";"hybrid";0;;;;"GR071037";;;;
"PMC4833194";26585840;"10.1113/ep085380";"Wiley-Blackwell";"Experimental physiology";"0958-0670, 1469-445X";"Is rate-pressure product of any use in the isolated rat heart? Assessing cardiac 'effort' and oxygen consumption in the Langendorff-perfused heart";£937.50;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"RG/12/4/29426";"FS/13/55/30643";;;
"PMC5028900";27461740;"10.1002/1873-3468.12328";"Wiley-Blackwell";"FEBS letters";"0014-5793, 1873-3468";"Sequence specific DNA binding by AT-hook motifs in MeCP2";£1,031.42;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
