Nr.,Institution,Publikationsjahr,Kosten (incl. 19% VAT),Verlag,Journal,Artikel,E-ISSN,DOI,base_url,repo_id,Fakultät,Finanzgeber,Anmerkungen
176,Goettingen U,2014,"1637,44",BioMed Central,Frontiers in Zoology,"Le Roy, Nathalie; Jackson, Daniel J; Marie, Benjamin; Ramos-Silva, Paula; Marin, Frédéric (2014): The evolution of metazoan ¿-carbonic anhydrases and their roles in calcium carbonate biomineralization - Frontiers in Zoology; Vol. 11, No. 1, 75",1742-9994,10.1186/s12983-014-0075-8,http://resolver.sub.uni-goettingen.de/,11002,CRC Geobiology,UGOE-Ergänzungsfonds 2014,NA
177,Goettingen U,2014,"1746,92",BioMed Central,Agriculture & Food Security ,"Kumalasari, Nur R; Bergmeier, Erwin (2014): Effects of surrounding crop and semi-natural vegetation on the plant diversity of paddy fields - Agriculture & Food Security; Vol. 3, No. 1, 15",2048-7010,10.1186/2048-7010-3-15,http://resolver.sub.uni-goettingen.de/,11474,Biologie,UGOE-Ergänzungsfonds 2014,NA
178,Goettingen U,2014,"1408,96",BioMed Central,Molecular Cytogenetics ,"Schwaibold, Eva M.C.; Smogavec, Mateja; Hobbiebrunken, Elke; Winter, Lorenz; Zoll, Barbara; Burfeind, Peter; Brockmann, Knut; Pauli, Silke (2014): Intragenic duplication of EHMT1 gene results in Kleefstra syndrome - Molecular Cytogenetics; Vol. 7, No. 1, 74",1755-8166,10.1186/s13039-014-0074-7,http://resolver.sub.uni-goettingen.de/,11004,UMG,UGOE-Ergänzungsfonds 2014,NA
179,Goettingen U,2014,"1594,60",BioMed Central,Head & Face Medicine ,"Karapantzou, Chrisanthi; Dressler, Dirk; Rohrbach, Saskia; Laskawi, Rainer (2014): Frontalis suspension surgery to treat patients with essential blepharospasm and apraxia of eyelid opening-technique and results - Head & Face Medicine; Vol. 10, No. 1, 44",1746-160X,10.1186/1746-160X-10-44,http://resolver.sub.uni-goettingen.de/,11008,UMG,UGOE-Ergänzungsfonds 2014,NA
180,Goettingen U,2014,"1299,48",BioMed Central,Journal of Neuroinflammation,"Stoeck, Katharina; Schmitz, Matthias; Ebert, Elisabeth; Schmidt, Christian; Zerr, Inga (2014): Immune responses in rapidly progressive dementia: a comparative study of neuroinflammatory markers in Creutzfeldt-Jakob disease, Alzheimer´s disease and multiple sclerosis - Journal of Neuroinflammation; Vol. 11, No. 1, 170",1742-2094,10.1186/s12974-014-0170-y,http://resolver.sub.uni-goettingen.de/,11001,UMG,UGOE-Ergänzungsfonds 2014,NA
181,Goettingen U,2014,"628,32",Springer,"Journal of Cloud Computing: Advances, Systems and Applications  ","Wiese, Lena (2014): Clustering-based fragmentation and data replication for flexible query answering in distributed databases - Journal of Cloud Computing; Vol. 3, No. 1",2192-113X,10.1186/s13677-014-0018-0,http://resolver.sub.uni-goettingen.de/,11159,Informatik,UGOE-Ergänzungsfonds 2014,NA
182,Goettingen U,2014,"1594,60",BioMed Central,BMC Genomics,"Landesfeind, Manuel; Meinicke, Peter (2014): Predicting the functional repertoire of an organism from unassembled RNA–seq data - BMC Genomics; Vol. 15, No. 1, 1003",1471-2164,10.1186/1471-2164-15-1003,http://resolver.sub.uni-goettingen.de/,11178,Biologie,UGOE-Ergänzungsfonds 2014,NA
183,Goettingen U,2014,"1523,20",BioMed Central,Proteome Science ,"Todorova Petrova, Darinka; Schultze, Frank Christian; Brandhorst, Gunnar; Luchs, Klaus-Dieter; Lenz, Christof; Urlaub, Henning; Rubel, Diana; Gross (2014): Effects of mycophenolate mofetil on kidney function and phosphorylation status of renal proteins in Alport COL4A3- dificient mice",1477-5956,10.1186/s12953-014-0056-z,http://resolver.sub.uni-goettingen.de/,11627,UMG,UGOE-Ergänzungsfonds 2014,NA
184,Goettingen U,2014,"1594,60",BioMed Central,BMC Cancer,"Girgert, Rainer; Emons, Günter; Gründker, Carsten (2014): Inhibition of GPR30 by estriol prevents growth stimulation of triple-negative breast cancer cells by 17ß-estradiol - BMC Cancer; Vol. 14, No. 1, 935",1471-2407,10.1186/1471-2407-14-935,http://resolver.sub.uni-goettingen.de/,11417,UMG,UGOE-Ergänzungsfonds 2014,NA
185,Goettingen U,2014,"1594,60",BioMed Central,BMC Genomics,"Dippel, Stefan; Oberhofer, Georg; Kahnt, Jörg; Gerischer, Lizzy; Opitz, Lennart; Schachtner, Joachim; Stanke, Mario; Schütz, Stefan; Wimmer, Ernst A; Angeli, Sergio (2014): Tissue-specific transcriptomics, chromosomal localization, and phylogeny of chemosensory and odorant binding proteins from the red flour beetle Tribolium castaneum reveal subgroup specificities for olfaction or more general functions - BMC Genomics; Vol. 15, No. 1, 1141",1471-2164,10.1186/1471-2164-15-1141,http://resolver.sub.uni-goettingen.de/,11415,Biologie,UGOE-Ergänzungsfonds 2014,NA
186,Goettingen U,2014,"1594,60",BioMed Central,BMC Biochemistry,"Riebeling, Theresa; Staab, Julia; Herrmann-Lingen, Christoph; Meyer, Thomas (2014): DNA binding reduces the dissociation rate of STAT1 dimers and impairs the interdimeric exchange of protomers - BMC Biochemistry; Vol. 15, No. 1, 28",1471-2091,10.1186/s12858-014-0028-z,http://resolver.sub.uni-goettingen.de/,11416,UMG,UGOE-Ergänzungsfonds 2014,NA
187,Goettingen U,2014,"1594,60",BioMed Central,BMC Plant Biology ,"Euring, Dejuan; Bai, Hua; Janz, Dennis; Polle, Andrea (2014): Nitrogen-driven stem elongation in poplar is linked with wood modification and gene clusters for stress, photosynthesis and cell wall formation - BMC Plant Biology; Vol. 14, No. 1, 391",1471-2229,10.1186/s12870-014-0391-3,http://resolver.sub.uni-goettingen.de/,11475,Forstwiss.,UGOE-Ergänzungsfonds 2014,NA
