"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
"",1184.62,1184.62,"","",2016-12-16,2016-11-22,2044-6055,"Imperial College London","BMJ Open",NYP,"","",BMJ,2016,"Journal Article/Review",0,"","Capacity of English NHS hospitals to monitor quality in infection prevention and control using a new European framework: a multi-level qualitative analysis"
1495,1183.75595,"",USD,"",2016-12-12,2016-12-12,"","University of Liverpool","PLoS One","CC BY","","","Public Library of Science (PLoS)",2016,"",0,"","Overexpression of TIMP-3 in chondrocytes produces transient reduction in growth plate length but permanently reduces adult bone quality and quantity"
"",1180,1180,"","",2016-07-27,2016-07-11,2045-2322,"Keele University","Scientific Reports","CC BY","","","Springer Nature",2016,"Journal Article/Review",0,"","Insight into the cellular fate and toxicity of aluminium adjuvants used in clinically approved human vaccinations"
"",1171,1171,GBP,"",2017-02-23,2017-02-23,"","University of Liverpool","Health Expectations ","CC BY","","",Wiley-Blackwell,2016,"",0,"","Priorities for methodological research on patient and public involvement in clinical trials: a modified Delphi process"
"",1164.5,1164.5,"","",2016-01-31,2016-09-01,"","King's College London","BMC Oral Health","","","","Springer Nature",2016,"",0,"","Inequalities in the frequency of free sugars intake among Syrian one-year-old infants: a cross-sectional study"
"",1164.5,1164.5,"","",2016-11-28,2016-11-22,"","King's College London","Globalization and Health","","","","Springer Nature",2016,"",0,"","Global health partnership for student peer-to-peer psychiatry e-learning: Lessons learned"
1397.4,1164.5,1164.5,USD,"",2016-05-27,2015-10-30,1756-994X,"Queen Mary, University of London","BMC Genomics","","","","Springer Nature",2016,"Journal Article/Review",0,2016,"Drug repositioning and drug mode of action discovery based on co-expressed gene-set enrichment analysis"
"",1128,1128,"","",2016-08-16,2016-06-20,"","University of Cambridge","Molecular Medicine Reports","","","","Spandidos Publications",2016,"",0,"","Gap junction inhibition by heptanol increases ventricular arrhythmogenicity by decreasing conduction velocity without affecting repolarization properties or myocardial refractoriness in Langendorff-perfused mouse hearts"
1794,1125.92,1125.92,USD,"",2016-10-14,2015-12-18,1932-6203,"Queen Mary, University of London","PLOS One","","","","Public Library of Science (PLoS)",2016,"Journal Article/Review",0,2016,"“If You Have to Ask, You’ll Never Know”: Effects of Specialised Stylistic Expertise on Predictive Processing of Music"
"",1125,1125,GBP,"",2017-01-27,2017-01-27,"","University of Liverpool","Geophysical Research Letters","CC BY","","",Wiley-Blackwell,2016,"",0,"","Characterization of moderate ash-and-gas explosions at Santiaguito volcano, Guatemala, from infrasound waveform inversion and thermal infrared measurements"
1108.596,1108.6,1108.6,USD,"",2016-08-16,2016-05-17,"","Queen Mary, University of London","AIP Advances","CC BY","","","AIP Publishing",2016,"Journal Article/Review",0,2016,"Graphene-Based Tunable Non-Foster Circuit for VHF Applications"
1495,1106.80531,"",USD,"","",2016-12-02,1932-6203,"Cardiff University","PLoS One","","","","Public Library of Science (PLoS)",2016,"Journal Article/Review",0,"","Do student samples provide an accurate estimate of the general public?"
1620,1099.57,1099.57,USD,"",2016-07-13,2016-05-25,"","Queen Mary, University of London","PLOS One","CC BY","","","Public Library of Science (PLoS)",2016,"Journal Article/Review",0,2016,"Sampling Assumptions Affect Use of Indirect Negative Evidence in Language Learning"
"",1083.456,1083.456,USD,"","",2016-11-02,"","Newcastle University","CSCW 17","","","","ACM Press",2016,"Journal Article/Review",0,"","I'd want to burn the data or nobble the numbers"
1080,1080,"",GBP,"","",2016-12-14,2046-2441,"Cardiff University","Open Biology","","","","The Royal Society",2016,"Journal Article/Review",0,"","T-Type Ca2+ channels are required for enhanced sympathetic axon growth by TNF-alpha reverse signalling"
1080,1080,1080,USD,"",2016-02-15,2015-09-29,2046-2441,"Queen Mary, University of London","Open Biology","","","","The Royal Society",2016,"Journal Article/Review",0,2016,"Transcriptomic identification of starfish neuropeptide precursors yields new insights into neuropeptide evolution"
"",1080,1080,GBP,"",2017-01-10,2017-01-10,"","University of Liverpool","Open Biology","CC BY","","","The Royal Society",2016,"",0,"","Transcriptional responses to hyperplastic MRL signalling in Drosophila"
1075,1072.4,1072.4,USD,"",2016-11-22,2016-11-10,1708-3087,"Cardiff University","Ecology and Society","","","","The Resilience Alliance",2016,"Journal Article/Review",0,"","Resilient but not sustainable?  Public perceptions of shale gas development via hydraulic fracturing"
1400,1052.3506,"",CHF,"","",2016-05-27,1996-1944,"Cardiff University",Materials,"","","","MDPI AG",2016,"Journal Article/Review",0,"","An investigation into the use of manufactured sand as a 100% replacement for fine aggregate in concrete"
1250,1051.68,1051.68,USD,"",2016-02-24,2016-02-05,"",UCL,"Global Environmental Politics","","","","MIT Press - Journals",2016,"Journal Article/Review",0,"","Framing Loss and Damage in the UNFCCC Negotiations: The Struggle over Meaning and the Warsaw International Mechanism"
"",1044,1044,GBP,"",2016-08-03,"","","University of Sheffield","Conservation Letters","","","",Wiley-Blackwell,2016,"",0,"","Secondary Forest Regeneration Conserves High Levels of Avian Phylogenetic Diversity"
1080,1040.02,1040.02,CHF,"",2016-11-23,2016-08-01,"",UCL,Sustainability,"","","","MDPI AG",2016,"Journal Article/Review",0,"","Local expert perceptions of migration as climate change adaptation in Bangladesh"
"",1038.1,1038.1,"","",2016-12-20,2016-12-01,"","University of Cambridge","Analytical Chemistry","","","","American Chemical Society (ACS)",2016,"",0,"","Quantitative Affinity Determination by Fluorescence Anisotropy Measurements of Individual Nanoliter Droplets"
1785,1016.54,1016.54,USD,"",2016-06-24,2016-05-16,"","Queen Mary, University of London","IEEE Internet of Things Journal","CC BY","","","Institute of Electrical and Electronics Engineers (IEEE)",2016,"Journal Article/Review",0,2016,"Scalable and Reliable IoT Enabled By Dynamic Spectrum Management for M2M in LTE-A"
1014,1014,1014,GBP,"",2016-03-03,2016-01-22,"",UCL,"New Journal of Physics","CC BY","","","IOP Publishing",2016,"",0,2016,"29 Si nuclear spins as a resource for donor spin qubits in silicon"
1190.59,1009.69,"",EUR,"","",2016-12-08,0966-6923,"Cardiff University"," Journal of Transport Geography ","","","","Elsevier BV",2016,"Journal Article/Review",0,"","Using Spatial Network Analysis to model pedal cycle flows, risk and mode choice"
1575,1008,1008,USD,"",2016-08-31,2016-07-25,"",UCL,"IEEE Transactions on Medical Imaging","","","","Institute of Electrical and Electronics Engineers (IEEE)",2016,"Journal Article/Review",0,"","Direct parametric reconstruction with joint motion estimation / correction for dynamic brain PET data"
"",999,999,"","","","",2044-7248,"University of Oxford",Flavour,"","","","Springer Nature",2016,"",0,"","Assessing the effect of shape on the evaluation of expected and actual chocolate flavour"
"",999,999,"","","","",2044-7248,"University of Oxford",Flavour,"","","","Springer Nature",2016,"",0,"","Pairing flavours and the temporal order of tasting"
"",990.3,990.3,CHF,"","",2016-11-10,"","Newcastle University",Genes,"","","","MDPI AG",2016,"Journal Article/Review",0,"","The ageing brain: effects on DNA repair and DNA methylation in mice"
"",984.91,984.91,"","",2016-12-14,2016-12-06,"","University of Cambridge","Journal of Molecular Biology","","","","Elsevier BV",2016,"",0,"","Arpeggio: a web server for calculating and visualising interatomic interactions in protein structures."
"",974.84,974.84,"","",2016-01-11,2015-12-10,"","University of Cambridge","Journal of Magnetic Resonance Imaging","","","",Wiley-Blackwell,2016,"",0,"","In vivo Î³-aminobutyric acid measurement in rats with spectral editing at 4.7T"
1200,964.98,964.98,USD,"",2016-10-12,2016-10-03,"",UCL,"Journal of Synchrotron Radiation","","","","International Union of Crystallography (IUCr)",2016,"Journal Article/Review",0,"","Nuclear incorporation of iron during the eukaryotic cell cycle"
948,948,948,GBP,"",2016-11-14,2016-10-21,"",UCL,"Social Cognitive and Affective Neuroscience","","","","Oxford University Press (OUP)",2016,"Journal Article/Review",0,"","Beyond self-serving bias: diffusion of responsibility reduces sense of agency and outcome monitoring"
"",941,941,GBP,"",2016-05-06,2016-05-06,"","University of Liverpool","Journal of Interdisciplinary Nanomedicine","CC BY","","",Wiley-Blackwell,2016,"",0,"","In vitro characterisation of solid drug nanoparticle compositions of efavirenz in a brain endothelium cell line"
"",938,938,"","",2016-10-28,2016-10-27,"","King's College London","Epilepsia Open","","","",Wiley-Blackwell,2016,"",0,"","Decreased functional connectivity within a language subnetwork in Rolandic epilepsy"
"",932.4,932.4,"","",2016-11-28,"","","University of Sheffield","Ecology and Evolution","","","",Wiley-Blackwell,2016,"",0,"","The Evolution of Mutualism with Modifiers"
960,928.36,928.36,USD,"",2016-12-07,2016-11-14,"",UCL,"Journal of Biomedical Optics","","","","SPIE-Intl Soc Optical Eng",2016,"Journal Article/Review",0,"","Quantitative photoacoustic tomography using forward and adjoint Monte Carlo models of radiance"
900,913.03,913.03,EUR,"",2016-07-13,2016-07-13,"","University of Liverpool","Myrmecological News","CC BY","","","Österreichische Gesellschaft für Entomofaunistik(ÖGEF)",2016,"",0,"","Morphological characteristics of ant assemblages (Hymenoptera: Formicidae) differ among contrasting biomes"
"",902.5,902.5,"","",2016-10-21,2016-09-15,"","King's College London","BMJ Open","","","",BMJ,2016,"",0,"","OPTIMUM : a protocol for a multicentre randomised controlled trial comparing Out Patient Talc slurry via Indwelling pleural catheter for Malignant pleural effusion Vs Usual inpatient Management."
900,900,900,GBP,"",2016-12-21,2016-10-05,"",UCL,"Molecular Genetics and Genomic Medicine","","","",Wiley-Blackwell,2016,"",0,"","CLN8 disease caused by large genomic deletions"
900,900,900,GBP,"",2016-12-22,"","","University of Southampton","BMJ Open","","","",BMJ,2016,"Journal Article/Review",0,"","Birth size, risk factors across life and cognition in late life: Protocol of prospective longitudinal follow-up of the MYNAH (MYsore studies of Natal effects on Ageing and Health) cohort."
900,900,900,GBP,"",2016-11-01,2016-11-22,1363-5387,"University of York","Internet Archaeology",NYP,"","","Council for British Archaeology",2016,"Journal Article/Review",0,"","Acoustic Heritage and Audio Creativity: the Creative Application of Sound in the Representation, Understanding and Experience of Past Environments"
"",895.21,895.21,"","",2016-11-03,2016-09-26,"","King's College London","International Journal of Clinical Medicine (IJCM)","","","","Scientific Research Publishing",2016,"",0,"","Blunt abdominal trauma leading to pancreatic injury in childhood. Delay in diagnosis leads to poor outcomes – a case presentation."
1080,886.61,886.61,CHF,"",2016-10-26,2016-10-17,"",UCL,Viruses,"","","","MDPI AG",2016,"Journal Article/Review",0,"","Measles to the Rescue: A review of Oncolytic Measles Virus"
870,870,870,GBP,"",2016-10-10,2016-05-31,"",UCL,"Conservation Letters","","","",Wiley-Blackwell,2016,"Journal Article/Review",0,"","Supporting conservation: the roles of flagship species and identifiable victims"
720,864,864,GBP,"",2016-11-08,2016-10-25,"",UCL,"Bone & Joint Research","","","","British Editorial Society of Bone and Joint Surgery",2016,"Journal Article/Review",0,"","Clinically insignificant trunnionosis in large diameter metal-on-polyethylene total hip replacements"
"",833.59,833.59,"","",2016-12-25,2016-11-01,"","King's College London","ACS Nano","","","","American Chemical Society (ACS)",2016,"",0,"","Probing the Heterogeneity of Protein Kinase Activation in Cells by Super-Resolution Microscopy. "
1188,827.13,827.13,USD,"",2016-06-07,2016-06-03,"","Queen Mary, University of London","Scientific Reports","CC BY","","","Springer Nature",2016,"Journal Article/Review",0,2016,"Cosmological flux noise and measured noise power spectra in SQUIDs"
"",825,825,GBP,"",2016-12-02,2016-12-02,2050-4527,"Lancaster University","Immunity, Inflammation and Disease","","","",Wiley-Blackwell,2016,"Journal Article/Review",0,"","Intestinal epithelial Suppressor of cytokine signalling 3 (SOCS3) impacts on mucosal homeostasis in a model of chronic inflammation"
1282.5,820.8,820.8,USD,"",2016-11-29,2016-09-05,"",UCL,"Frontiers in Human Neuroscience","","","","Frontiers Media SA",2016,"Journal Article/Review",0,"","The throw-and-catch model of human gait: evidence from coupling of pre-step postural activity and step location"
1080,813.37,813.37,USD,"",2016-10-14,2016-01-29,"","Queen Mary, University of London",CHI,"CC BY","","","ACM Press",2016,"Journal Article/Review",0,2016,"Tap the ShapeTones: Exploring the effects of crossmodal congruence in an audio-visual interface"
795.6,795.6,795.6,GBP,"",2016-12-12,2016-10-11,"",UCL,"Journal of Negative Results in BioMedicine","","","","Springer Nature",2016,"Journal Article/Review",0,"","Does being overweight really confer protection against dementia? Extended follow-up of participants in the Glasgow University alumni cohort study"
"",795,795,"","",2016-09-26,2016-09-09,"","King's College London","Peer J Computer Science","","","",PeerJ,2016,"",0,"","Machine learning can differentiate venom toxins from other proteins having non-toxic physiological functions."
"",784.06,784.06,"","","","",0013-8339,"University of Oxford","English Literature in Transition 1880 - 1920","","","","ELT Press",2016,"",0,"","The man who never came? The problem of sex in J.M Barrie's Fiction"
950,777.56,777.56,USD,"",2016-10-19,2016-10-14,"",UCL,"American Journal of Case Reports","","","","International Scientific Information",2016,"Journal Article/Review",0,"","Polymyositis without beneficial response to steroid therapy: Should Miyoshi Myopathy be a differential diagnosis?"
"",777,777,"","",2016-07-22,"",2045-7758,"University of Reading","Ecology and Evolution","","","",Wiley-Blackwell,2016,"Journal Article/Review",0,"","“Pussy cat, pussy cat where have you been..?” Evaluating the use of stable isotopes, radiogenic isotopes and trace elements for investigating the ecology of Panthera leo "
800,762.96,762.96,USD,"",2016-12-16,2016-12-06,"",UCL,"Journal of Climate","","","","American Meteorological Society",2016,"Journal Article/Review",0,"","Observed basin-scale response of the North Atlantic Meridional Overturning Circulation to wind stress forcing"
912.9,760.75,760.75,USD,"",2016-06-01,2016-05-20,"","Queen Mary, University of London","Acta Neuropathologica Communications","CC BY","","","Springer Nature",2016,"Journal Article/Review",0,2016,"Germline or somatic GPR101 duplication leads to X-linked acrogigantism: a clinico-pathological and genetic study"
748.8,748.8,748.8,GBP,"",2016-10-05,2016-10-04,2045-7758,"University of Exeter","Ecology and Evolution","","","",Wiley-Blackwell,2016,"Journal Article/Review",0,"","Lifetime fitness consequences of early-life ecological hardship in a wild mammal population"
744.6,744.6,744.6,GBP,"",2016-12-03,2016-03-23,"",UCL,"Heritage Science","","","","Springer Nature",2016,"Journal Article/Review",0,"","Preserving prototypes"
744.6,744.6,744.6,GBP,"",2016-12-12,2016-04-14,"",UCL,"Heritage Science","","","","Springer Nature",2016,"Journal Article/Review",0,"","Material Properties of Islamic Paper"
"",739.03,739.03,"","",2016-10-20,2016-10-09,1553-524X,"Imperial College London","Discrete and Continuous Dynamical Systems - Series B",NYP,"","","American Institute of Mathematical Sciences (AIMS)",2016,"Journal Article/Review",0,"","A continuum model for nematic alignment of self-propelled particles"
"",728.7,728.7,"","",2016-02-02,2015-11-17,"","University of Cambridge","BMC Public Health","","","","Springer Nature",2016,"",0,"","Engaging families in physical activity research: A family-based focus group study"
737.5,728.34,728.34,USD,"",2016-12-06,2016-10-10,1360-080X,"Cardiff University","Journal of Higher Education Policy and Management","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Evidence of hybrid institutional logics in the U.S. public research university"
"",726.83,726.83,"","",2016-12-13,2016-12-20,"","University of Cambridge","PLOS ONE","","","","Public Library of Science (PLoS)",2016,"",0,"","An Automated Image Analysis System to Quantify Endosomal Tubulation"
749,709.62,709.62,USD,"",2016-12-07,2016-09-14,"",UCL,"PRS Global Open","","","","Ovid Technologies (Wolters Kluwer Health)",2016,"Journal Article/Review",0,"","Epidermal graft accelerates the healing of acute wound: A self-controlled case report"
708.9,708.9,708.9,GBP,"",2016-12-12,2016-10-20,"",UCL,"Crime Science","","","","Springer Nature",2016,"Journal Article/Review",0,"","A metric of the Difference Between Perception of Security and Victimisation Rates"
840,684.2,684.2,USD,"",2017-01-31,2016-12-13,"","Northumbria University",CHI,"CC BY","","","ACM Press",2016,"Book chapter",0,"","Crowdfunding Platforms and the Design of Paying Publics"
85000,670.26,670.26,"","",2016-10-19,2016-05-10,"",UCL,"Journal of Epidemiology","","","","Japan Epidemiological Association",2016,"",0,"","Prevalence of frailty in Japan: a systematic review and meta-analysis"
750,655.12,655.12,USD,"",2016-08-04,2016-05-13,0032-0889,"University of Manchester","Plant Physiology",Unknown,"","","American Society of Plant Biologists",2016,"Journal Article/Review",0,2016,"Control of floret symmetry by RAY3, SvDIV1B and SvRAD in the capitulum of Senecio vulgaris"
"",655.07,655.07,"","",2016-07-25,2016-07-18,"","University of Nottingham","Proceedings of the European Conference on Cognitive Ergonomics 2016","CC BY","","","ACM Press",2016,"Conference Paper/Proceeding/Abstract",0,"","Multimodal “sensory illusions” for improving spatial awareness in virtual environments"
"",641.66,641.66,"","","",2016-08-24,"","University of Glasgow","","","","","",2016,"Conference Paper/Proceeding/Abstract",0,2016,"Reasoning with Imprecise Privacy Preferences"
"",631.67,631.67,"","",2016-12-16,2016-10-26,"","King's College London","Forum of Mathematics, Sigma","","","","Cambridge University Press (CUP)",2016,"",0,"","Serre weights and wild ramification in two-dimensional Galois representations"
900,623.29,623.29,EUR,"",2016-03-16,2015-10-06,"",UCL,"Urban Planning","","","",Cogitatio,2016,"Journal Article/Review",0,"","Crisis-shaped cities and their future"
720,604.55,604.55,USD,"",2016-05-24,2016-04-01,1791-7530,"Cardiff University","Anticancer research",None,"",27069194,"International Institute of Anticancer Research",2016,"Journal Article/Review",0,2016,"Feasibility of Transanal Minimally Invasive Surgery (TAMIS) for Rectal Tumours and Its Impact on Quality of Life – The Bristol Series"
594,594,594,GBP,"",2016-10-17,2016-09-23,"",UCL,"Scientific Reports","","","","Springer Nature",2016,"",0,"","The orientation selectivity of face identification"
600,577.99,577.99,CHF,"",2016-30-29,2016-11-30,2071-1050,"Cardiff University",Sustainability,"","","","MDPI AG",2016,"Journal Article/Review",0,"","Evaluation of a regional retrofit programme to upgrade existing housing stock to reduce carbon emissions, fuel poverty and support the local supply chain"
640,575.69,575.69,EUR,"",2016-11-16,2016-10-07,"",UCL,"Politics and Governance","","","",Cogitatio,2016,"Journal Article/Review",0,"","Governance Through Economic Paradigms: Addressing Climate Change by Accounting for Health"
"",572.4,572.4,GBP,"","",2016-10-20,"","Newcastle University","Anthropology and Medicine","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Health and the management of chronic conditions in rural areas: a note of caution from southern India"
700,552.26,552.26,USD,"",2016-12-14,2016-11-30,"",UCL,"","","","","Association for Computing Machinery (ACM)",2016,"Conference Paper/Proceeding/Abstract",0,"","Automatic Cyclic Termination Proofs for Recursive Procedures in Separation Logic"
700,537.9,537.9,USD,"",2016-09-21,2016-09-16,"",UCL,"","","","","Association for Computing Machinery (ACM)",2016,"Conference Paper/Proceeding/Abstract",0,"","Supporting collaboration with non-literate forest communities in the Congo-Basin"
536.4,536.4,536.4,GBP,"",2016-10-13,2016-09-22,1538-7216,"Cardiff University","Eurasian Geography and Economics","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","The urbanization of transition: ideology and the urban experience"
536.4,536.4,536.4,GBP,"",2016-10-18,2016-10-17,2380-0127,"Cardiff University","Applied Mobilities ","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Mobilities at work: repair, movement and a fourfold typology. Applied Mobilities "
536.4,536.4,536.4,GBP,"",2016-11-03,2016-11-02,1751-2786,"Cardiff University","Jounalism Practice","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Data journalism, impartiality and statistical claims: towards more independent scrutiny in news reporting "
536.4,536.4,"",GBP,"","",2016-11-30,1940-6940,"Cardiff University","International Journal of Sport Policy and Politics","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","From a sports mega-event to a regional mega-project: The Sochi Winter Olympics and the return of geography in state development priorities"
536.4,536.4,"",GBP,"","",2016-12-06,1030-4312,"Cardiff University",Continuum,"","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Myths about Media Studies: The construction of Media Studies education in the British press"
"",536.4,536.4,"","",2016-10-21,2016-08-26,"","King's College London","Teaching in Higher Education","","","","Informa UK Limited",2016,"",0,"","Learning through inquiry: A Global Health Hackathon"
"",536.4,536.4,"","",2016-11-06,2016-09-30,"","King's College London","Textual Practice","","","","Informa UK Limited",2016,"",0,"","The Body in Martin Amis's Experience"
"",536.4,536.4,"","",2016-12-08,2016-11-01,"","King's College London","Disability & Society","","","","Informa UK Limited",2016,"",0,"","Disability and social justice"
536.4,536.4,536.4,GBP,"",2017-01-31,2016-12-15,0886-5655,"Northumbria University","Journal of Borderlands Studies","CC BY","","","Informa UK Limited",2016,"Journal Article/Review",0,"","'Northern Lights’: an assessment of the political and economic challenges facing North East England in the context of greater Scottish autonomy "
536.4,536.4,536.4,GBP,"",2017-01-31,2016-12-21,0886-5655,"Northumbria University","Journal of Borderlands Studies","CC BY","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Performing the Anglo-Scottish Border: Cultural landscapes, heritage and borderland identities"
536.4,536.4,536.4,GBP,"",2016-11-30,2016-05-06,"",UCL,"Journal of Urban Affairs","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Gender, urban space, and the right to everyday life"
536.4,536.4,536.4,GBP,"",2016-11-30,2016-11-30,"",UCL,"International Journal of Disability, Development and Education","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","An exploration of the cognitive, physical and psychosocial development of children with Apert syndrome"
536.4,536.4,536.4,GBP,"",2016-12-01,2016-11-30,"",UCL,"Pedagogy, Culture & Society","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Factors deterring schools from mixed attainment teaching practice"
"",536.4,536.4,"","",2016-02-05,2016-01-27,"","University of Cambridge","International Journal of Geographical Information Science","","","","Informa UK Limited",2016,"",0,"","A novel methodology for identifying environmental exposures using GPS data"
"",536.4,536.4,"","",2016-09-08,2016-03-01,"","University of Cambridge","Journal of Imperial and Commonwealth History","","","","Informa UK Limited",2016,"",0,"","â€˜No one knows what he is until he is toldâ€™: Audience and personhood in a colonial African diary"
"",536.4,536.4,"","",2016-07-04,2016-06-03,"","University of Cambridge","Combustion Science and Technology","","","","Informa UK Limited",2016,"",0,"","LES of premixed combustion in the corrugated flamelet regime"
"",536.4,536.4,"","",2016-09-23,2016-09-14,"","University of Cambridge","JOURNAL OF EARTHQUAKE ENGINEERING","","","","Informa UK Limited",2016,"",0,"","Tuned mass damper positioning effects on the seismic response of a soil-MDOF-structure system"
"",536.4,536.4,"","",2016-10-07,2016-09-23,"","University of Cambridge","Luxury: History, Culture, Consumption","","","","Informa UK Limited",2016,"",0,"","Prodigal Years?: Negotiating luxury and fashioning identity in a seventeenth-century account book"
"",536.4,536.4,"","",2016-11-21,2016-11-07,"","University of Cambridge","Professional Development in Education","","","","Informa UK Limited",2016,"",0,"","A Research-Informed, School-based Professional Development Workshop Programme to promote Dialogic Teaching With Interactive Technologies"
"",536.4,536.4,GBP,"",2017-01-05,2017-01-05,"","University of Liverpool","Spatial Economic Analysis","CC BY","","","Informa UK Limited",2016,"",0,"","An Evolutionary Approach to the Delimitation of Labour Market Areas: An Empirical Application for Chile"
"",536.4,536.4,GBP,"","",2016-12-22,"","University of St Andrews","Estudios de Psicología","","","","Informa UK Limited",2016,"Journal Article/Review",0,"","Knowing without knowing: implicit cognition and the minds of infants and animals"
"",534.61,534.61,"","",2016-10-17,2016-10-17,"","King's College London","PeerJ Computer Science ","","","",PeerJ,2016,"",0,"","Implementing generalized Deep-Copy in MPI"
"",531.69,531.69,"","","","",2330-0000,"University of Oxford","Transactions of the American Mathematical Society Series B","","","","American Mathematical Society",2016,"",0,2016,"The free path in a high velocity random flight process associated to a Lorentz gas in an external field"
"",517.64,517.64,"","",2016-11-07,2016-08-02,"","University of Cambridge","Journal of Alzheimer's Disease","","","","IOS Press",2016,"",0,"","Neuroprotective effect of TREM-2 in ageing and Alzheimerâ€™s"
699,517.496262,"",USD,"","",2016-11-30,2152-7180,"Cardiff University",Psychology,"","","",SCIRP,2016,"Journal Article/Review",0,"","An international survey of the wellbeing of employees in the business process outsourcing industry"
"",506.48,506.48,"","","","","","University of Nottingham","VAT only","VAT ONLY","","","Elsevier BV",2016,"Journal Article/Review",0,"","VAT only"
"",486.44,486.44,"","",2016-12-16,2016-12-15,"","University of Cambridge","Acta Neuropathologica Communications","","","","Springer Nature",2016,"",0,"","Mitochondrial DNA point mutations and relative copy number in 1363 disease and control human brains"
"",486,486,"","",2016-09-29,2016-09-05,1687-4145,"University of St Andrews","EURASIP Journal on Bioinformatics and Systems Biology","CC BY","","","Springer Nature",2016,"Journal Article/Review",0,2016,"Complex temporal topic evolution modelling using the Kullback-Leibler divergence and the Bhattacharyya distance"
"",481.67,481.67,"","",2016-10-07,2016-09-06,"","King's College London","Psychological Medicine","","","","Cambridge University Press (CUP)",2016,"",0,"","Longitudinal alterations in motivational salience processing in ultra high-risk subjects for psychosis"
"",480,480,"","",2016-11-20,2016-10-25,0264-6196,"Aston University","British Journal of Visual Impairment","CC BY","","","SAGE Publications",2016,"Journal Article/Review",0,"","Evaluation of a clinical decision making aid for nutrition advice in age-related macular degeneration"
"",466.09,466.09,USD,"",2016-08-10,2016-08-02,0065-2598,"Manchester Metropolitan University","Advances in Experimental Medicine and Biology","","","","Springer Nature",2016,"Journal Article/Review",0,""," Auxetic foam for snow-sport safety devices"
667.2,463.33,463.33,USD,"",2016-09-22,2016-09-22,"","Queen Mary, University of London",PeerJ,"CC BY","","",PeerJ,2016,"Journal Article/Review",0,2016,"Sonification of reference markers for auditory graphs: effects on non-visual point estimation tasks"
450,450,450,GBP,"","",2016-11-15,2045-2322,"Plymouth University","Scientific reports","CC BY","","","Springer Nature",2016,"Journal Article/Review",0,"",???
500,435.99,435.99,EUR,"",2016-10-05,2016-09-29,"",UCL,"International Journal of Electrochemical Science","","","",ESG,2016,"",0,"","Predominance Diagrams of Spent Nuclear Fuel Materials in LiCl-KCl and NaCl-KCl Molten Salt Eutectics"
576,399.76,399.76,USD,"",2016-10-14,2016-05-16,"","Queen Mary, University of London","Journal of Biomedical Optics","CC BY","","","SPIE-Intl Soc Optical Eng",2016,"Journal Article/Review",0,2016,"Dynamic measurement of local displacements within curing resin based dental composite using optical coherence elastography"
500,386.95,386.95,USD,"",2016-07-13,2016-07-06,"",UCL,"Neurology Genetics","CC BY-NC-ND","","","Ovid Technologies (Wolters Kluwer Health)",2016,"Journal Article/Review",0,2016,"Mutation of TBCK causes a rare recessive developmental disorder"
324,324,324,GBP,"",2016-10-21,2016-02-22,"",UCL,"Journal of Open Research Software","","","","Ubiquity Press, Ltd.",2016,"Journal Article/Review",0,"","Report on the Third Workshop on Sustainable Software for Science: Practice and Experiences (WSSSPE3)"
"",291.68,291.68,GBP,"",2016-08-15,2016-05-09,2213-1272,"Lancaster University","Journal of Language Aggression and Conflict","","","","John Benjamins Publishing Company",2016,"Journal Article/Review",0,"","*Reverse charge VAT *Linguistic impoliteness and religiously aggravated hate crime in England and Wales"
"",265.68,265.68,EUR,"",2016-09-30,2016-09-09,1108-7161,"Manchester Metropolitan University","Journal of Musculoskeletal and Neuronal Interactions","","","","International Society of Musculoskeletal and Neuronal Interactions",2016,"Journal Article/Review",0,"","Bone health measured using quantitative ultrasonography in adult males with muscular dystrophy"
270,255.91,255.91,CHF,"",2016-11-30,2016-11-23,"",UCL,"Journal of Clinical Medicine","","","","MDPI AG",2016,"Journal Article/Review",0,"","Monitoring of Physiological Parameters to Predict Exacerbations of COPD: A Systematic Review"
240,240,240,GBP,"",2016-12-12,2016-02-26,0163-4437,"Cardiff University","Media, Culture & Society","","","","SAGE Publications",2016,"Journal Article/Review",0,"","From 'voice' to 'voices': identifying a plurality of Muslim sources in the news media"
240,240,240,GBP,"",2016-03-21,2015-12-15,"",UCL,"Journal of Health Services Research & Policy","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"Lessons for major system change: centralisation of stroke services in two metropolitan areas of England"
