"Year","Institution - Abbrv","Instsitution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","APC in NOK"
2016,"UiT","University of Tromsø - The Arctic University of Norway","MutT from the fish pathogen Aliivibrio salmonicida is a cold active nucleotide pool sanitization enzyme with an unexpected high thermostability   ","FEBS Open Bio","2211-5463",1,"http://dx.doi.org/10.1016/j.fob.2015.01.006",13254.60
2016,"UiT","University of Tromsø - The Arctic University of Norway","General practitioners’ altered preferences for private practice vs. salaried positions: A consequence of proposed policy regulations? ","BMC Health Services Research","1472-6963",2,"http://dx.doi.org/10.1186/s12913-015-0777-4",14866.50
2016,"UiT","University of Tromsø - The Arctic University of Norway","EFFECTS OF ASYMMETRIC NUCLEAR INTROGRESSION, MITOCHONDRIAL SWEEP, AND PURIFYING SELECTION ON PHYLOGENETIC RECONSTRUCTION AND DIVERGENCE ESTIMATES IN THE PACIFIC CLADE OF LOCUSTELLA WARBLERS","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0122590",12705.70
2016,"UiT","University of Tromsø - The Arctic University of Norway","Ethnic discrimination and health: The relationship between experienced ethnic discrimination and multiple health domains in Norway’s rural Sami population.","International Journal of Circumpolar Health","1239-9736",1,"http://dx.doi.org/10.3402/ijch.v74.25125",5386.81
2016,"UiT","University of Tromsø - The Arctic University of Norway","When should acute exacerbations of COPD be treated with systemic corticosteroids and antibiotics in primary care: a systematic review of current COPD guidelines.","Primary Care Respiratory Medicine","2055-1010",1,"http://dx.doi.org/doi:10.1038/npjpcrm.2015.2",13704.51
2016,"UiT","University of Tromsø - The Arctic University of Norway","Chitosan in mucoadhesive drug delivery: Local vaginal therapy","Marine Drugs","1660-3397",1,"http://dx.doi.org/10.3390/md13010222",17030.00
2016,"UiT","University of Tromsø - The Arctic University of Norway","Undesirable financial effects of head and neck cancer radiotherapy during the initial treatment period","International Journal of Circumpolar Health","1239-9736",1,"http://dx.doi.org/10.3402/ijch.v74.26686",5386.81
2016,"UiT","University of Tromsø - The Arctic University of Norway","Knowledge transfer in the field of parental mental illness. Objectives, effective strategies, indicators of success, and sustainability","International Journal of Mental Health Systems","1752-4458",1,"http://dx.doi.org/10.1186/1752-4458-9-6",17507.00
2016,"UiT","University of Tromsø - The Arctic University of Norway","Under the snow: a new camera trap opens the white box of subnivean ecology","Remote Sensing in Ecology and Conservation","2056-3485",1,"http://dx.doi.org/10.1002/rse2.2",22325.00
2016,"UiT","University of Tromsø - The Arctic University of Norway","Analgesic use in a Norwegian general population: change over time and high-risk use. The Tromsø Study.","BMC Pharmacology & Toxicology","2050-6511",1,"http://dx.doi.org/10.1186/s40360-015-0016-y",15182.17
2016,"UiT","University of Tromsø - The Arctic University of Norway","Polar front associated variation in prokaryotic community structure in Arctic shelf seafloor","Frontiers in Microbiology","1664-302X",1,"http://dx.doi.org/10.3389/fmicb.2015.00017",11366.65
2016,"UiT","University of Tromsø - The Arctic University of Norway","Prevalence of self-reported stomach symptoms after consuming milk among indigenous Sami and non-Sami in Northern and Mid Norway – the SAMINOR study","International Journal of Circumpolar Health","1239-9736",1,"http://dx.doi.org/10.3402/ijch.v74.25762",5386.81
2016,"UiT","University of Tromsø - The Arctic University of Norway","Maternal functional hemodynamics in the second half of pregnancy: A longitudinal study","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0135300",13766.80
2016,"UiT","University of Tromsø - The Arctic University of Norway","Morphological divergence between three Arctic charr morphs - the significance of the deep-water environment","Ecology and Evolution","2045-7758",1,"http://dx.doi.org/10.1002/ece3.1573",21180.89
2016,"UiT","University of Tromsø - The Arctic University of Norway","Increased influence and collaboration: A qualitative study of service users'…","BMC Health Services Research","1472-6963",2,"http://dx.doi.org/10.1186/s12913-015-1083-x",15182.17
2016,"UiT","University of Tromsø - The Arctic University of Norway","Changes in detection of birth defects and perinatal mortality after introduction of prenatal screening in Kola Peninsula (North-West Russia): combination of two birth registries","BMC Pregnancy and Childbirth","1471-2393",1,"http://dx.doi.org/10.1186/s12884-015-0747-1",17958.02
2016,"UiT","University of Tromsø - The Arctic University of Norway","Validity of self-reported body mass index among middle-aged participants in the Norwegian women and cancer cohort study","Clinical Epidemiology","1179-1349",1,"http://dx.doi.org/10.2147/CLEP.S83839",15952.96
2016,"UiT","University of Tromsø - The Arctic University of Norway","Low FEV1, smoking history, and obesity are factors associated with oxygen saturation decrease in an adult population cohort","International Journal of Chronic Obstructive Pulmonary Disease","1176-8106",1,"http://dx.doi.org/10.2147/COPD.S69438",14785.34
2016,"UiT","University of Tromsø - The Arctic University of Norway","Low oxygen saturation and mortality in an adult cohort: the Tromso Study ","BMC Pulmonary Medicine","1471-2466",1,"http://dx.doi.org/10.1186/s12890-015-0003-5",19649.19
2016,"UiT","University of Tromsø - The Arctic University of Norway","Risk factors, complications and survival after upper abdominal surgery: a prospective cohort study ","BMC Surgery","1471-2482",1,"http://dx.doi.org/10.1186/s12893-015-0069-2",15182.17
2016,"UiT","University of Tromsø - The Arctic University of Norway","Existing datasources in clinical epidemiology: The Scandinavian Thrombosis and Cancer (STAC) Study","Clinical Epidemiology","1179-1349",1,"http://dx.doi.org/10.2147/CLEP.S84279",15742.45
2016,"UiT","University of Tromsø - The Arctic University of Norway","Kvik: three-tier data exploration tools for flexible analysis of genomic data in epidemiological studies","F1000 Research","2046-1402",1,"http://dx.doi.org/10.12688/f1000research.6238.2",5114.89
2016,"UiT","University of Tromsø - The Arctic University of Norway","Transcription factor T-bet in Atlantic salmon: characterization and gene expression in mucosal tissues during Aeromonas salmonicida infection.","Frontiers in Immunology","1664-3224",1,"http://dx.doi.org/10.3389/fimmu.2015.00345",13916.91
2016,"UiT","University of Tromsø - The Arctic University of Norway","The role of Merkel cell polyomavirus and other human polyomaviruses in emerging hallmarks of cancer","Viruses","1999-4915",1,"http://dx.doi.org/10.3390/v7041871",14280.53
2016,"UiT","University of Tromsø - The Arctic University of Norway","Variations in suicide method and occurrence by season and day of the week in Russia and the Nenets Autonomous Okrug, Northwestern Russia: a retrospective population-based mortality study.","BMC Psychiatry","1471-244X",1,"http://dx.doi.org/10.1186/s12888-015-0601-z",15182.17
2016,"UiT","University of Tromsø - The Arctic University of Norway","Physical activity before and after breast cancer diagnosis and survival – The Norwegian Women and Cancer Study","BMC Cancer","1471-2407",1,"http://dx.doi.org/10.1186/s12885-015-1971-9",18035.19
2016,"UiT","University of Tromsø - The Arctic University of Norway","Regional differences in renal replacement therapy in northern Norway 2000-2012","International Journal of Circumpolar Health","1239-9736",1,"http://dx.doi.org/10.3402/ijch.v74.24298",5432.74
2016,"UiT","University of Tromsø - The Arctic University of Norway","Cancer-Associated Fibroblasts from lung tumors maintain their immuno-suppressive abilities after high-dose irradiation","Frontiers in Oncology","2234-943X",1,"http://dx.doi.org/10.3389/fonc.2015.00087",8295.69
2016,"UiT","University of Tromsø - The Arctic University of Norway","Ketamine for prehospital trauma analgesia in a low-resource rural trauma system: A retrospective comparative study of ketamine and opioid analgesia in a ten-year cohort in Iraq ","Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine","1757-7241",1,"http://dx.doi.org/10.1186/s13049-015-0176-1",15015.94
2016,"UiT","University of Tromsø - The Arctic University of Norway","Changes in body mass index and the prevalence of obesity during 1994-2008 - repeated cross-sectional surveys and longitudinal analyses: The Tromsø Study ","BMJ Open","2044-6055",1,"http://dx.doi.org/10.1136/bmjopen-2015-007859",19956.88
2016,"UiT","University of Tromsø - The Arctic University of Norway","Shifts in methanogenic community composition and methane fluxes along the  degradation of discontinuous permafrost","Frontiers in Microbiology","1664-302X",1,"http://dx.doi.org/10.3389/fmicb.2015.00356",10563.40
2016,"UiT","University of Tromsø - The Arctic University of Norway","Violence affects physical and mental health differently: the general population based Tromsø study","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0136588",13730.19
2016,"UiT","University of Tromsø - The Arctic University of Norway","Gender differences in the use of psychiatric outpatient specialist services in Tromsø, Norway are dependent on age: a population-based cross-sectional survey","BMC Health Services Research","1472-6963",2,"http://dx.doi.org/10.1186/s12913-015-1146-z",15182.17
2016,"UiT","University of Tromsø - The Arctic University of Norway","Is ambient light during the high Arctic polar night sufficient to act as a visual cue for zooplankton?","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0126247",13416.49
2016,"UiT","University of Tromsø - The Arctic University of Norway","Investigating the mobilome in clinically important lineages of Enterococcus faecium and Enterococcus faecalis","BMC Genomics","1471-2164",1,"http://dx.doi.org/10.1186/s12864-015-1407-6",20109.38
2016,"UiT","University of Tromsø - The Arctic University of Norway","The DBP phenotype Gc-1f/Gc-1f is associated with reduced risk of cancer. The Tromsø Study","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0126359",13416.49
2016,"UiT","University of Tromsø - The Arctic University of Norway","Own, but not foreign seminal fluid inhibits sperm activation in a vertebrate with external fertilization.","Frontiers in Ecology and Evolution ","2296-701X",1,"http://dx.doi.org/10.3389/fevo.2015.00092",14544.44
2016,"UiT","University of Tromsø - The Arctic University of Norway","Symptoms, signs and tests: The general practitioner's comprehensive approach towards a cancer diagnosis. Retrospective cohort study with prospective registration of cancer in general practice.","Scandinavian Journal of Primary Health Care","0281-3432",1,"http://dx.doi.org/10.3109/02813432.2015.1067512",5570.75
2016,"UiT","University of Tromsø - The Arctic University of Norway","Food web topology in high mountain lakes","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0143016",14322.66
2016,"UiT","University of Tromsø - The Arctic University of Norway","Plectin as a prognostic marker in non-metastatic oral squamous cell carcinoma ","BMC Oral Health","1472-6831",2,"http://dx.doi.org/10.1186/s12903-015-0084-9",15182.17
2016,"UiT","University of Tromsø - The Arctic University of Norway","Uric Acid is Associated with Microalbuminuria and Decreased Glomerular Filtration Rate in the General Population during 7 and 13 Years of Follow-Up. The Tromsø Study","BMC Nephrology","1471-2369",1,"http://dx.doi.org/10.1186/s12882-015-0207-1",18035.19
2016,"UiT","University of Tromsø - The Arctic University of Norway","""Getting It Right"": The Birth of a New EU Common Fishery Policy? – Legislative and Legal Perspectives on the Annulling of the ""Five Structural Failings""","Arctic Review on Law and Politics","1891-6252",1,"http://dx.doi.org/10.17585/arctic.v6.93",12500.00
2016,"UiT","University of Tromsø - The Arctic University of Norway","The EU Seal Products Ban – Why Ineffective Animal Welfare Protection Cannot Justify Trade Restrictions under European and International Trade Law.","Arctic Review on Law and Politics","1891-6252",1,"http://dx.doi.org/10.17585/arctic.v6.77",12500.00
2016,"UiT","University of Tromsø - The Arctic University of Norway","One Valley, Three Hands","Arctic Review on Law and Politics","1891-6252",1,"http://dx.doi.org/10.17585/arctic.v6.59",12500.00
2016,"UiT","University of Tromsø - The Arctic University of Norway","What can we talk about, in which language, in what way and with whom? Sami patients’ experiences of language choice and cultural norms in mental health treatment","International Journal of Circumpolar Health ","1239-9736",1,"http://dx.doi.org/10.3402/ijch.v74.26952",5537.50
2016,"UiT","University of Tromsø - The Arctic University of Norway","Black-legged kittiwake Rissa tridactyla adults and chicks share the same diet in the southern Baretnts Sea ","Marine Ornithology","1018-3337",1,,2254.59
2016,"UiT","University of Tromsø - The Arctic University of Norway","Decisions on statin therapy by patients' opinions about survival gains: Cross sectional survey of general practitioners","BMC Family Practice","1471-2296",1,"http://dx.doi.org/10.1186/s12875-015-0288-8",14683.48
2016,"UiT","University of Tromsø - The Arctic University of Norway","Spectral characteristics of high latitude raw 40MHz cosmic noise signals","Nonlinear processes in geophysics","1607-7946",1,"http://dx.doi.org/doi:10.5194/npgd-2-969-2015",4606.58
2016,"UiT","University of Tromsø - The Arctic University of Norway","Young Doctors' Preferences for Payment Systems:  The influence of gender and personality traits","Human Resources for Health","1478-4491",1,"http://dx.doi.org/10.1186/s12960-015-0060-0",17343.13
2016,"UiT","University of Tromsø - The Arctic University of Norway","Health economics and radium-223 (Xofigo®) in the treatment of metastatic castration-resistant prostate cancer (mCRPC). A case history and a systematic review of the literature.","Global Journal of Health Science","1916-9736",1,"http://dx.doi.org/10.5539/gjhs.v8n4p1",5369.66
2016,"UiT","University of Tromsø - The Arctic University of Norway","Mapping the risk perception and communication gap between different professionals of healthcare providers in cancer care: a cross-sectional protocol","BMJ Open","2044-6055",1,"http://dx.doi.org/10.1136/bmjopen-2015-008236",16944.30
2016,"UiT","University of Tromsø - The Arctic University of Norway","Use of complementary and alternative medicine within Norwegian hospitals","BMC Complementary and Alternative Medicine","1472-6882",2,"http://dx.doi.org/10.1186/s12906-015-0782-5",15182.17
2016,"UiT","University of Tromsø - The Arctic University of Norway","The use of cell phones and radio communication systems to reduce delays in getting help for pregnant women in low and middle income countries: A review     ","Global Health Action","1654-9716",1,"http://dx.doi.org/10.3402/gha.v8.28887",15258.06
2016,"UiT","University of Tromsø - The Arctic University of Norway","The greening of Norwegian salmon production","Maritime Studies","1872-7859",1,"http://dx.doi.org/10.1186/s40152-015-0034-9",7701.90
2016,"UiT","University of Tromsø - The Arctic University of Norway","Silent or vocalizing rats copulate in a similar manner","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0144164",14711.64
2016,"UiT","University of Tromsø - The Arctic University of Norway","Omega-3 Fatty Acids and Cardiovascular Diseases - Effects, Mechanisms and Dietary Relevance","International Journal of Molecular Sciences","1661-6596",1,"http://dx.doi.org/10.3390/ijms160922636",17081.40
2016,"UiT","University of Tromsø - The Arctic University of Norway","Local inpatient units may increase patients' utilization of outpatient services. A case-register study","Psychology Research and Behavior Management","1179-1578",1,"http://dx.doi.org/10.2147/PRBM.S94857",19143.75
2016,"UiT","University of Tromsø - The Arctic University of Norway","Epithelial ovarian cancer subtypes attributable to smoking in the Norwegian women and cancer study (NOWAC), 2012","Cancer Medicine","2045-7634",1,"http://dx.doi.org/10.1002/cam4.590",16986.96
2016,"UiT","University of Tromsø - The Arctic University of Norway","Scented grasses in Norway - identity and uses","Journal of Ethnobiology and Ethnomedicine","1746-4269",1,"http://dx.doi.org/10.1186/s13002-015-0070-y",16323.83
2016,"UiT","University of Tromsø - The Arctic University of Norway","Seasonal Differences in Relative Gene Expression of Putative Central Appetite Regulators in Arctic charr","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0138857",13936.39
2016,"UiT","University of Tromsø - The Arctic University of Norway","Anthropometric factors related to sprint and agility performance in young male soccer players","Open Access Journal of Sports Medicine","1179-1543",1,"http://dx.doi.org/10.2147/OAJSM.S91689",18883.75
2016,"UiT","University of Tromsø - The Arctic University of Norway","Indigenous Children’s Right to Learn Their Mother Tongue at School: Implementation and Realization in Russia","Arctic Review on Law and Politics","1891-6252",1,"http://dx.doi.org/10.17585/arctic.v6.117",12500.00
2016,"UiT","University of Tromsø - The Arctic University of Norway","Does the frequency and intensity of physical activity in adolescence have an impact on bone? The Tromso Study, Fit Futures","BMC Sports Science, Medicine and Rehabilitation","2052-1847",1,"http://dx.doi.org/10.1186/s13102-015-0020-y",15182.17
2016,"UiT","University of Tromsø - The Arctic University of Norway","Effects of high intensity interval training on pregnant rats, and the placenta, heart and liver of their fetuses ","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0143095",14322.66
2016,"UiT","University of Tromsø - The Arctic University of Norway","Sensitive on-chip methane detection with a Cryptophane-A cladded Mach-Zehnder interferometer","Optics Express","1094-4087",2,"http://dx.doi.org/10.1364/OE.23.031564",17698.54
2016,"UiT","University of Tromsø - The Arctic University of Norway","Adherence and factors affecting satisfaction in long-term telerehabilitation for patients with chronic obstructive pulmonary disease: a qualitative study","BMC Medical Informatics and Decision Making","1472-6947",1,"http://dx.doi.org/10.1186/s12911-016-0264-9",18035.19
2016,"UiT","University of Tromsø - The Arctic University of Norway","The first magnetotelluric image of the lithospheric-scale geological architecture in central Svalbard, Norway","Polar Research","0800-0395",1,"http://dx.doi.org/10.3402/polar.v34.26766",13653.36
2015,"UiT","University of Tromsø - The Arctic University of Norway","Making ecosystem-based management operational: Integrated Monitoring in Norway","Maritime studies","1872-7859",1,"http://dx.doi.org/10.1186/2212-9790-12-5",7014.18
2015,"UiT","University of Tromsø - The Arctic University of Norway","Legal pluralism in Norwegian inshore fisheries: Perception of Sami fishing rights","Maritime studies","1872-7859",1,"http://dx.doi.org/10.1186/2212-9790-12-9",6315.41
2015,"UiT","University of Tromsø - The Arctic University of Norway","Optimal starting point for antiretroviral treatment in a town in Caameroon. A randomised controlled study","BMC Public health","1471-2458",1,"http://dx.doi.org/10.1186/1471-2458-14-828",13249.01
2015,"UiT","University of Tromsø - The Arctic University of Norway","Liposomes-in-hydrogel Delivery System with Mupirocin: in vitro Antibiofilm Studies and in vivo Evaluation in Mice Burn Model","BioMed Research International","2314-6141",1,"http://dx.doi.org/10.1155/2013/498485",11485.00
2015,"UiT","University of Tromsø - The Arctic University of Norway","Transfers to hospital in planned home births – a systematic review","BMC Pregnancy and Childbirth","1471-2393",1,"http://dx.doi.org/10.1186/1471-2393-14-179",13249.01
2015,"UiT","University of Tromsø - The Arctic University of Norway","Effect of transverse aortic constriction on cardiac structure, function and gene expression in pregnant rats","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0089559",10285.99
2015,"UiT","University of Tromsø - The Arctic University of Norway","Do dentists have better oral health compared to general population? A descriptive study of oral health status and oral health behavior in Kathmandu, Nepal","BMC oral health","1472-6831",1,"http://dx.doi.org/10.1186/1472-6831-14-23",12022.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Pushed or pulled? Understanding fishery exit in a welfare society context","Maritime Studies","1872-7859",1,"http://dx.doi.org/10.1186/2212-9790-12-4",5964.55
2015,"UiT","University of Tromsø - The Arctic University of Norway","Recruitment to the Norwegian Fishing Fleet: Storylines, paradoxes, and pragmatism in Norwegian fisheries and recruitment policy’","Maritime Studies","1872-7859",1,"http://dx.doi.org/10.1186/2212-9790-12-8",6337.34
2015,"UiT","University of Tromsø - The Arctic University of Norway","Vitamin D deficiency is common in psychogeriatric patients, independent of diagnosis","BMC Psychiatry","1471-244X",1,"http://dx.doi.org/10.1186/1471-244X-14-134",13249.01
2015,"UiT","University of Tromsø - The Arctic University of Norway","Smoking increases rectal cancer risk to the same extent among women as it does in men","BMC Cancer","1471-2407",1,"http://dx.doi.org/10.1186/1471-2407-14-321",12190.95
2015,"UiT","University of Tromsø - The Arctic University of Norway","A population-based Study on Health- and Living Conditions in Areas with Mixed Sami and Norwegian Settlements – the SAMINOR 2 Questionnaire Study","International Journal of Circumpolar Health","2242-3982",1,"http://dx.doi.org/10.3402/ijch.v73.23147",5067.31
2015,"UiT","University of Tromsø - The Arctic University of Norway","Segregation analysis in Norwegian families with Charcot-Marie-Tooth disease allows reclassification of putative disease causing mutations.","BMC Medical Genetics","1471-2350",1,"http://dx.doi.org/10.1186/1471-2350-15-12",12022.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Assessment of cancer therapy-induced oral mucositis using a patient-reported oral-mucositis experience questionnaire (PROMS)","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0091733",10400.00
2015,"UiT","University of Tromsø - The Arctic University of Norway","Overdiagnosis of breast cancer in the Norwegian Breast Cancer Screening Program estimated by the Norwegian Women and Cancer cohort study","BMC Cancer","1471-2407",1,"http://hdl.handle.net/10037/5806",16833.75
2015,"UiT","University of Tromsø - The Arctic University of Norway","Physical activity and risk of postmenopausal in breast cancer - the Norwegian Women and Cancer Biomedicine Study","The Journal of Negative Results","1477-5751",1,"http://dx.doi.org/10.1186/1477-5751-13-3",10391.37
2015,"UiT","University of Tromsø - The Arctic University of Norway","Do national resources have to be centrally managed?. Vested interests and institutional reform in Norwegian fisheries governance","Maritime Studies","1872-7859",1,"http://dx.doi.org/10.1186/2212-9790-13-5",6983.97
2015,"UiT","University of Tromsø - The Arctic University of Norway","""Sometimes i walk and walk, hoping to get some peace."" Dealing with hearing voices and sounds nobody else hears.","International Journal of Qualitative Studies on Health and Well-being","1748-2631",1,"http://dx.doi.org/10.3402/qhw.v9.23069",6772.76
2015,"UiT","University of Tromsø - The Arctic University of Norway","Susceptibility for Lupus Nephritis by low copy number of the FCGR3B gene is linked to increased levels of pathogenic autoantibodies","Autoimmune Diseases","2090-0430",1,"http://dx.doi.org/10.1155/2013/750814",7276.38
2015,"UiT","University of Tromsø - The Arctic University of Norway","Attitudes towards sickness absence and sickness presenteeism in health and care sectors in Norway and Denmark: a qualitative study","BMC Public Health","1471-2458",1,"http://dx.doi.org/10.1186/1471-2458-14-880",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Anal incontinence, urinary incontinence and sexual problems in primiparous women - a comparison between women with episiotomy only and women with episiotomy and obstetric anal sphincter injury.","BMC Pregancy and Childbirth","1471-2393",1,"http://dx.doi.org/10.1186/s12905-014-0157-y",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Speciation reversal in European whitefish (Coregonus lavaretus (L.)) caused by competitor invasion","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0091208",10425.50
2015,"UiT","University of Tromsø - The Arctic University of Norway","Marine spatial planning: risk or opportunity for fisheries in the North Sea?","Maritime studies","1872-7859",1,"http://dx.doi.org/10.1186/2212-9790-13-1",6430.53
2015,"UiT","University of Tromsø - The Arctic University of Norway","High prevalence of chronic musculoskeletal complaints among women in a Norwegian general population – a cross-sectional study. The Tromsø Study.","BMC Research Notes","1756-0500",1,"http://dx.doi.org/10.1186/1756-0500-7-506",7702.91
2015,"UiT","University of Tromsø - The Arctic University of Norway","A pharmacist-led follow-up program for patients with coronary heart disease in North Norway - a qualitative study exploring patient experiences","BMC Research Notes","1756-0500",1,"http://dx.doi.org/10.1186/1756-0500-7-197",6663.52
2015,"UiT","University of Tromsø - The Arctic University of Norway","Uptake and adherence of a self-directed internet- based mental health intervention with tailored e­mail reminders in senior high schools in Norway","BMC Psychiatry","1471-244X",1,"http://dx.doi.org/10.1186/1471-244X-14-14",12022.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","The creation of coastal space - how local ecological knowledge becomes relevant","Maritime Studies","1872-7859",1,"http://dx.doi.org/10.1186/2212-9790-13-2",6983.97
2015,"UiT","University of Tromsø - The Arctic University of Norway","Synthetic cationic antimicrobial peptides bind with their hydrophobic parts to drug site II of human serum albumin","BMC Structural Biology","1472-6807",1,"http://dx.doi.org/10.1186/1472-6807-14-4",12022.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Agnoprotein of polyomavirus BK interacts With proliferating cell nuclear antigen and inhibits DNA replication","Virology Journal","1743-422X",1,,14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Can Auditory Brainstem Response be Used as a Diagnostic Tool for Patients Suffering from Schizophrenia, Attention Deficit Hyperactivity Disorder, and Bipolar Disorder?","JMIR Research Protocols","1929-0748",1,"http://dx.doi.org/10.2196/resprot.3880",17243.75
2015,"UiT","University of Tromsø - The Arctic University of Norway","Gender differences in prevalence and associations  and for use of CAM in a large population study Alternative Medicine","BMC Complementary","1472-6882",1,"http://dx.doi.org/10.1186/1472-6882-14-463",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Stromal expression of miR-21 predicts biochemical failure in prostate cancer patients with Gleason score 6.","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0113039",11065.61
2015,"UiT","University of Tromsø - The Arctic University of Norway","Efficient uptake of blood-borne BK and JC polyomavirus-like particles in endothelial cells of liver sinusoids and renal vasa recta","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0111762",10790.39
2015,"UiT","University of Tromsø - The Arctic University of Norway","A multicentre hospital outbreak in Sweden caused by introduction of a vanB2 transposon into a stably maintained pRUM-plasmid in an Enterococcus faecium ST192 clone.","PLoS ONE ","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0103274",10742.31
2015,"UiT","University of Tromsø - The Arctic University of Norway","External validation of the Garvan nomograms for predicting absolute fracture risk. The Tromsø Study","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0107695",10583.16
2015,"UiT","University of Tromsø - The Arctic University of Norway","Red cell distribution width is associated with incident myocardial infarction in a general Association population: the tromsø study.","Journal of the American Heart","2047-9980",1,"http://dx.doi.org/10.1161/JAHA.114.001109",16668.52
2015,"UiT","University of Tromsø - The Arctic University of Norway","Sickness absence patterns and trends in the health  care sector: 5-year monitoring of female municipal employees in the health and care sectors in Norway and Denmark.","Human Resources for Health","1478-4491",1,"http://dx.doi.org/10.1186/1478-4491-12-37",15393.08
2015,"UiT","University of Tromsø - The Arctic University of Norway","Tweet content related to sexually transmitted diseases: No joking matter Research","Journal of Medical Internet","1438-8871",2,"http://dx.doi.org/10.2196/jmir.3259",15587.84
2015,"UiT","University of Tromsø - The Arctic University of Norway","Light-controlled flavonoid biosynthesis in fruits ","Frontiers in Plant Science","1664-462X",1,"http://dx.doi.org/10.3389/fpls.2014.00534",9861.36
2015,"UiT","University of Tromsø - The Arctic University of Norway","Clinicopathological characteristics of oral squamous cell carcinoma in Northern Norway: a retrospective study","BMC Oral Health","1472-6831",1,"http://dx.doi.org/10.1186/1472-6831-14-103",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Pax6 regulates the expression of Dkk3 in murine and human cell lines, and altered responses to Wnt signaling are shown in FlpIn-3T3 cells stably expressing either the Pax6 or the Pax6(5a) isoform.","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0102559",10072.53
2015,"UiT","University of Tromsø - The Arctic University of Norway","Obesity and obesity-associated cardiometabolic risk factors in indigenous Nenets women from the rural Nenets Autonomous Area and Russian women from Arkhangelsk city","International Journal of Circumpolar Health","1239-9736",1,"http://dx.doi.org/10.3402/ijch.v73.23859",5233.56
2015,"UiT","University of Tromsø - The Arctic University of Norway","Structural and functional characterization of salmon STAT1, STAT2 and IRF9 homologs sheds light on interferon signaling in teleosts.","FEBS Open Bio","2211-5463",1,"http://dx.doi.org/10.1016/j.fob.2014.09.007",12312.90
2015,"UiT","University of Tromsø - The Arctic University of Norway","Dental anxiety: A comparison of students of dentistry, biology and psychology","Journal of Multidisciplinary Healthcare","1178-2390",1,"http://dx.doi.org/10.2147/JMDH.S69178",14883.21
2015,"UiT","University of Tromsø - The Arctic University of Norway","Human endogenous retrovirus W activity in cartilage of osteoarthritis patients (artikkel 698609)","BioMed Research International","2314-6141",1,,10659.25
2015,"UiT","University of Tromsø - The Arctic University of Norway","Urokinase Plasminogen Activator Receptor (uPAR) and Plasminogen Activator Inhibitor-1 (PAI-1) are potential predictive biomarkers in early stage Oral Squamous Cell Carcinomas (OSCC).","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0101895",10072.52
2015,"UiT","University of Tromsø - The Arctic University of Norway","Effectiveness of school-based preventive interventions on adolescent alcohol use: a meta- analysis of randomized controlled trials","Substance Abuse Treatment, Prevention and Policy","1747-597X",1,"http://dx.doi.org/10.1186/1747-597x-9-48",12472.91
2015,"UiT","University of Tromsø - The Arctic University of Norway","HPV mRNA is more specific than HPV DNA in triage of women with minor cervical lesions","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0112934",11688.35
2015,"UiT","University of Tromsø - The Arctic University of Norway","Phenology and cover of plant growth forms predict herbivore habitat selection in a high latitude ecosystem","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0100780",10024.60
2015,"UiT","University of Tromsø - The Arctic University of Norway","Effectiveness of cognitive behavioral group therapy for depression in routine practice","BMC Psychiatry","1471-244X",1,"http://dx.doi.org/10.1186/s12888-014-0292-x",14125.30
